Prefecture_name,Prefecture_code,Date,Infections
北海道,1,2020/1/16,0
北海道,1,2020/1/17,0
北海道,1,2020/1/18,0
北海道,1,2020/1/19,0
北海道,1,2020/1/20,0
北海道,1,2020/1/21,0
北海道,1,2020/1/22,0
北海道,1,2020/1/23,0
北海道,1,2020/1/24,0
北海道,1,2020/1/25,0
北海道,1,2020/1/26,0
北海道,1,2020/1/27,0
北海道,1,2020/1/28,1
北海道,1,2020/1/29,0
北海道,1,2020/1/30,0
北海道,1,2020/1/31,0
北海道,1,2020/2/1,0
北海道,1,2020/2/2,0
北海道,1,2020/2/3,0
北海道,1,2020/2/4,0
北海道,1,2020/2/5,0
北海道,1,2020/2/6,0
北海道,1,2020/2/7,0
北海道,1,2020/2/8,0
北海道,1,2020/2/9,0
北海道,1,2020/2/10,0
北海道,1,2020/2/11,0
北海道,1,2020/2/12,0
北海道,1,2020/2/13,0
北海道,1,2020/2/14,1
北海道,1,2020/2/15,0
北海道,1,2020/2/16,0
北海道,1,2020/2/17,0
北海道,1,2020/2/18,0
北海道,1,2020/2/19,2
北海道,1,2020/2/20,1
北海道,1,2020/2/21,3
北海道,1,2020/2/22,9
北海道,1,2020/2/23,7
北海道,1,2020/2/24,6
北海道,1,2020/2/25,1
北海道,1,2020/2/26,8
北海道,1,2020/2/27,15
北海道,1,2020/2/28,12
北海道,1,2020/2/29,4
北海道,1,2020/3/1,2
北海道,1,2020/3/2,5
北海道,1,2020/3/3,2
北海道,1,2020/3/4,3
北海道,1,2020/3/5,1
北海道,1,2020/3/6,7
北海道,1,2020/3/7,8
北海道,1,2020/3/8,3
北海道,1,2020/3/9,7
北海道,1,2020/3/10,3
北海道,1,2020/3/11,7
北海道,1,2020/3/12,10
北海道,1,2020/3/13,9
北海道,1,2020/3/14,7
北海道,1,2020/3/15,4
北海道,1,2020/3/16,4
北海道,1,2020/3/17,0
北海道,1,2020/3/18,2
北海道,1,2020/3/19,3
北海道,1,2020/3/20,1
北海道,1,2020/3/21,1
北海道,1,2020/3/22,3
北海道,1,2020/3/23,0
北海道,1,2020/3/24,1
北海道,1,2020/3/25,4
北海道,1,2020/3/26,1
北海道,1,2020/3/27,1
北海道,1,2020/3/28,3
北海道,1,2020/3/29,4
北海道,1,2020/3/30,1
北海道,1,2020/3/31,0
北海道,1,2020/4/1,5
北海道,1,2020/4/2,3
北海道,1,2020/4/3,5
北海道,1,2020/4/4,3
北海道,1,2020/4/5,1
北海道,1,2020/4/6,0
北海道,1,2020/4/7,4
北海道,1,2020/4/8,10
北海道,1,2020/4/9,18
北海道,1,2020/4/10,13
北海道,1,2020/4/11,16
北海道,1,2020/4/12,12
北海道,1,2020/4/13,5
北海道,1,2020/4/14,18
北海道,1,2020/4/15,23
北海道,1,2020/4/16,23
北海道,1,2020/4/17,33
北海道,1,2020/4/18,38
北海道,1,2020/4/19,27
北海道,1,2020/4/20,17
北海道,1,2020/4/21,22
北海道,1,2020/4/22,22
北海道,1,2020/4/23,45
北海道,1,2020/4/24,22
北海道,1,2020/4/25,39
北海道,1,2020/4/26,14
北海道,1,2020/4/27,35
北海道,1,2020/4/28,38
北海道,1,2020/4/29,38
北海道,1,2020/4/30,41
北海道,1,2020/5/1,22
北海道,1,2020/5/2,33
北海道,1,2020/5/3,26
北海道,1,2020/5/4,31
北海道,1,2020/5/5,12
北海道,1,2020/5/6,23
北海道,1,2020/5/7,14
北海道,1,2020/5/8,6
北海道,1,2020/5/9,11
北海道,1,2020/5/10,9
北海道,1,2020/5/11,12
北海道,1,2020/5/12,13
北海道,1,2020/5/13,4
北海道,1,2020/5/14,6
北海道,1,2020/5/15,10
北海道,1,2020/5/16,7
北海道,1,2020/5/17,8
北海道,1,2020/5/18,1
北海道,1,2020/5/19,3
北海道,1,2020/5/20,2
北海道,1,2020/5/21,5
北海道,1,2020/5/22,6
北海道,1,2020/5/23,9
北海道,1,2020/5/24,15
北海道,1,2020/5/25,3
北海道,1,2020/5/26,8
北海道,1,2020/5/27,5
北海道,1,2020/5/28,7
北海道,1,2020/5/29,3
北海道,1,2020/5/30,4
北海道,1,2020/5/31,6
北海道,1,2020/6/1,5
北海道,1,2020/6/2,3
北海道,1,2020/6/3,3
北海道,1,2020/6/4,3
北海道,1,2020/6/5,4
北海道,1,2020/6/6,8
北海道,1,2020/6/7,4
北海道,1,2020/6/8,4
北海道,1,2020/6/9,7
北海道,1,2020/6/10,5
北海道,1,2020/6/11,7
北海道,1,2020/6/12,10
北海道,1,2020/6/13,9
北海道,1,2020/6/14,7
北海道,1,2020/6/15,6
北海道,1,2020/6/16,2
北海道,1,2020/6/17,6
北海道,1,2020/6/18,5
北海道,1,2020/6/19,3
北海道,1,2020/6/20,3
北海道,1,2020/6/21,2
北海道,1,2020/6/22,2
北海道,1,2020/6/23,1
北海道,1,2020/6/24,10
北海道,1,2020/6/25,6
北海道,1,2020/6/26,5
北海道,1,2020/6/27,1
北海道,1,2020/6/28,17
北海道,1,2020/6/29,11
北海道,1,2020/6/30,13
北海道,1,2020/7/1,4
北海道,1,2020/7/2,8
北海道,1,2020/7/3,0
北海道,1,2020/7/4,1
北海道,1,2020/7/5,1
北海道,1,2020/7/6,0
北海道,1,2020/7/7,1
北海道,1,2020/7/8,4
北海道,1,2020/7/9,1
北海道,1,2020/7/10,6
北海道,1,2020/7/11,1
北海道,1,2020/7/12,4
北海道,1,2020/7/13,2
北海道,1,2020/7/14,8
北海道,1,2020/7/15,13
北海道,1,2020/7/16,6
北海道,1,2020/7/17,3
北海道,1,2020/7/18,13
北海道,1,2020/7/19,9
北海道,1,2020/7/20,3
北海道,1,2020/7/21,10
