Prefecture_name,Prefecture_code,Date,Infections
北海道,1,2020/1/16,0
青森県,2,2020/1/16,0
岩手県,3,2020/1/16,0
宮城県,4,2020/1/16,0
秋田県,5,2020/1/16,0
山形県,6,2020/1/16,0
福島県,7,2020/1/16,0
茨城県,8,2020/1/16,0
栃木県,9,2020/1/16,0
群馬県,10,2020/1/16,0
埼玉県,11,2020/1/16,0
千葉県,12,2020/1/16,0
東京都,13,2020/1/16,0
神奈川県,14,2020/1/16,1
新潟県,15,2020/1/16,0
富山県,16,2020/1/16,0
石川県,17,2020/1/16,0
福井県,18,2020/1/16,0
山梨県,19,2020/1/16,0
長野県,20,2020/1/16,0
岐阜県,21,2020/1/16,0
静岡県,22,2020/1/16,0
愛知県,23,2020/1/16,0
三重県,24,2020/1/16,0
滋賀県,25,2020/1/16,0
京都府,26,2020/1/16,0
大阪府,27,2020/1/16,0
兵庫県,28,2020/1/16,0
奈良県,29,2020/1/16,0
和歌山県,30,2020/1/16,0
鳥取県,31,2020/1/16,0
島根県,32,2020/1/16,0
岡山県,33,2020/1/16,0
広島県,34,2020/1/16,0
山口県,35,2020/1/16,0
徳島県,36,2020/1/16,0
香川県,37,2020/1/16,0
愛媛県,38,2020/1/16,0
高知県,39,2020/1/16,0
福岡県,40,2020/1/16,0
佐賀県,41,2020/1/16,0
長崎県,42,2020/1/16,0
熊本県,43,2020/1/16,0
大分県,44,2020/1/16,0
宮崎県,45,2020/1/16,0
鹿児島県,46,2020/1/16,0
沖縄県,47,2020/1/16,0
北海道,1,2020/1/17,0
青森県,2,2020/1/17,0
岩手県,3,2020/1/17,0
宮城県,4,2020/1/17,0
秋田県,5,2020/1/17,0
山形県,6,2020/1/17,0
福島県,7,2020/1/17,0
茨城県,8,2020/1/17,0
栃木県,9,2020/1/17,0
群馬県,10,2020/1/17,0
埼玉県,11,2020/1/17,0
千葉県,12,2020/1/17,0
東京都,13,2020/1/17,0
神奈川県,14,2020/1/17,0
新潟県,15,2020/1/17,0
富山県,16,2020/1/17,0
石川県,17,2020/1/17,0
福井県,18,2020/1/17,0
山梨県,19,2020/1/17,0
長野県,20,2020/1/17,0
岐阜県,21,2020/1/17,0
静岡県,22,2020/1/17,0
愛知県,23,2020/1/17,0
三重県,24,2020/1/17,0
滋賀県,25,2020/1/17,0
京都府,26,2020/1/17,0
大阪府,27,2020/1/17,0
兵庫県,28,2020/1/17,0
奈良県,29,2020/1/17,0
和歌山県,30,2020/1/17,0
鳥取県,31,2020/1/17,0
島根県,32,2020/1/17,0
岡山県,33,2020/1/17,0
広島県,34,2020/1/17,0
山口県,35,2020/1/17,0
徳島県,36,2020/1/17,0
香川県,37,2020/1/17,0
愛媛県,38,2020/1/17,0
高知県,39,2020/1/17,0
福岡県,40,2020/1/17,0
佐賀県,41,2020/1/17,0
長崎県,42,2020/1/17,0
熊本県,43,2020/1/17,0
大分県,44,2020/1/17,0
宮崎県,45,2020/1/17,0
鹿児島県,46,2020/1/17,0
沖縄県,47,2020/1/17,0
北海道,1,2020/1/18,0
青森県,2,2020/1/18,0
岩手県,3,2020/1/18,0
宮城県,4,2020/1/18,0
